시도군구,시도,군구,count,인구수,HS_ratio
강원특별자치도 강릉시,강원특별자치도,강릉시,19,207543,9.154729381381207
강원특별자치도 고성군,강원특별자치도,고성군,14,26920,52.00594353640416
강원특별자치도 동해시,강원특별자치도,동해시,4,87571,4.567722191136335
강원특별자치도 삼척시,강원특별자치도,삼척시,15,61464,24.404529480671613
강원특별자치도 속초시,강원특별자치도,속초시,1,80754,1.2383287515169528
강원특별자치도 양구군,강원특별자치도,양구군,8,20552,38.92565200467108
강원특별자치도 양양군,강원특별자치도,양양군,11,27470,40.043684018929746
강원특별자치도 영월군,강원특별자치도,영월군,14,36603,38.248231019315355
강원특별자치도 원주시,강원특별자치도,원주시,20,362159,5.5224362779883975
강원특별자치도 인제군,강원특별자치도,인제군,11,31385,35.048590090807714
강원특별자치도 정선군,강원특별자치도,정선군,19,33487,56.7384358109117
강원특별자치도 철원군,강원특별자치도,철원군,13,40408,32.171847158978416
강원특별자치도 춘천시,강원특별자치도,춘천시,25,285864,8.745417401281728
강원특별자치도 태백시,강원특별자치도,태백시,3,37875,7.920792079207921
강원특별자치도 평창군,강원특별자치도,평창군,23,40305,57.06488028780548
강원특별자치도 홍천군,강원특별자치도,홍천군,28,66661,42.00357030347579
강원특별자치도 화천군,강원특별자치도,화천군,11,22764,48.32191179054647
강원특별자치도 횡성군,강원특별자치도,횡성군,17,46037,36.92681973195473
경기도 가평군,경기도,가평군,21,62472,33.61505954667691
경기도 고양시,경기도,고양시,4,1069131,0.3741356297778289
경기도 과천시,경기도,과천시,1,85501,1.1695769640121167
경기도 광명시,경기도,광명시,2,279805,0.7147835099444256
경기도 광주시,경기도,광주시,16,397410,4.026068795450542
경기도 구리시,경기도,구리시,3,186868,1.6054113063766935
경기도 군포시,경기도,군포시,2,255533,0.7826777754732265
경기도 김포시,경기도,김포시,14,486651,2.8768049382411625
경기도 남양주시,경기도,남양주시,16,732191,2.1852221619768613
경기도 동두천시,경기도,동두천시,1,86807,1.1519808310389716
경기도 부천시,경기도,부천시,3,769084,0.390074426200519
경기도 성남시,경기도,성남시,4,912708,0.43825626596896267
경기도 수원시,경기도,수원시,4,1192256,0.33549841644747436
경기도 시흥시,경기도,시흥시,8,517511,1.5458608609285598
경기도 안산시,경기도,안산시,9,619381,1.4530636231979992
경기도 안성시,경기도,안성시,26,194007,13.401578293566727
경기도 안양시,경기도,안양시,2,557962,0.3584473494610744
경기도 양주시,경기도,양주시,8,289527,2.7631274457995283
경기도 양평군,경기도,양평군,28,126792,22.08341220266263
경기도 여주시,경기도,여주시,23,114562,20.076465145510728
경기도 연천군,경기도,연천군,15,40894,36.68019758399765
경기도 오산시,경기도,오산시,2,242618,0.8243411453395874
경기도 용인시,경기도,용인시,20,1087144,1.839682691529365
경기도 의왕시,경기도,의왕시,2,154351,1.2957480029283905
경기도 의정부시,경기도,의정부시,1,461142,0.21685294334500002
경기도 이천시,경기도,이천시,23,222420,10.340796690945059
경기도 파주시,경기도,파주시,14,513627,2.725713406810779
경기도 평택시,경기도,평택시,23,599138,3.83884847898147
경기도 포천시,경기도,포천시,23,141444,16.26085235146065
경기도 하남시,경기도,하남시,2,328875,0.6081337894336755
경기도 화성시,경기도,화성시,26,971835,2.6753512684766445
경상남도 거제시,경상남도,거제시,23,232777,9.88070127203289
경상남도 거창군,경상남도,거창군,30,59514,50.40830728904123
경상남도 고성군,경상남도,고성군,26,47913,54.26502201907624
경상남도 김해시,경상남도,김해시,12,531683,2.2569839547249018
경상남도 남해군,경상남도,남해군,25,39730,62.924742008557764
경상남도 밀양시,경상남도,밀양시,25,100544,24.864735837046467
경상남도 사천시,경상남도,사천시,21,108420,19.36912008854455
경상남도 산청군,경상남도,산청군,25,33203,75.29440110833359
경상남도 양산시,경상남도,양산시,10,359920,2.7783951989330964
경상남도 의령군,경상남도,의령군,22,25094,87.67035944847375
경상남도 진주시,경상남도,진주시,26,338449,7.682102768807117
경상남도 창녕군,경상남도,창녕군,33,56040,58.886509635974306
경상남도 창원시,경상남도,창원시,19,999399,1.9011425866946035
경상남도 통영시,경상남도,통영시,22,118250,18.604651162790695
경상남도 하동군,경상남도,하동군,31,40679,76.20639642075764
경상남도 함안군,경상남도,함안군,17,58849,28.887491716086934
경상남도 함양군,경상남도,함양군,22,36002,61.10771623798678
경상남도 합천군,경상남도,합천군,32,40133,79.73488151894949
경상북도 경산시,경상북도,경산시,19,266013,7.14250807291373
경상북도 경주시,경상북도,경주시,29,244589,11.85662478688739
경상북도 고령군,경상북도,고령군,18,30041,59.918111913717915
경상북도 구미시,경상북도,구미시,22,404395,5.440225522076188
경상북도 김천시,경상북도,김천시,33,135610,24.334488607034878
경상북도 문경시,경상북도,문경시,23,67025,34.31555389779933
경상북도 봉화군,경상북도,봉화군,17,28719,59.19426163863644
경상북도 상주시,경상북도,상주시,44,91784,47.93863854266539
경상북도 성주군,경상북도,성주군,21,41396,50.729539085902026
경상북도 안동시,경상북도,안동시,40,152902,26.160547278649073
경상북도 영덕군,경상북도,영덕군,22,33123,66.41910454970866
경상북도 영양군,경상북도,영양군,14,15309,91.44947416552354
경상북도 영주시,경상북도,영주시,24,98782,24.29592435868883
경상북도 영천시,경상북도,영천시,25,97872,25.543567108059506
경상북도 예천군,경상북도,예천군,27,54480,49.55947136563877
경상북도 울릉군,경상북도,울릉군,6,9063,66.20324395895399
경상북도 울진군,경상북도,울진군,26,46106,56.391792825228826
경상북도 의성군,경상북도,의성군,39,48620,80.21390374331551
경상북도 청도군,경상북도,청도군,19,40544,46.86266771902131
경상북도 청송군,경상북도,청송군,15,23687,63.325874952505586
경상북도 칠곡군,경상북도,칠곡군,18,107142,16.80013440107521
경상북도 포항시,경상북도,포항시,38,491439,7.732394050940199
광주광역시 광산구,광주광역시,광산구,10,391166,2.5564594059810926
광주광역시 남구,광주광역시,남구,5,208004,2.4037999269244823
광주광역시 동구,광주광역시,동구,2,105910,1.888395807761307
광주광역시 북구,광주광역시,북구,3,423403,0.7085448142785952
광주광역시 서구,광주광역시,서구,4,278614,1.435678034843906
대구광역시 남구,대구광역시,남구,1,136642,0.7318394051609315
대구광역시 달서구,대구광역시,달서구,2,521673,0.38338192699257967
대구광역시 달성군,대구광역시,달성군,16,257469,6.214340367189836
대구광역시 동구,대구광역시,동구,1,342133,0.2922839948207276
대구광역시 북구,대구광역시,북구,3,412347,0.7275425794294611
대구광역시 서구,대구광역시,서구,1,162815,0.6141940238921475
대구광역시 수성구,대구광역시,수성구,2,409676,0.48819066774719533
대구광역시 중구,대구광역시,중구,1,98112,1.0192433137638617
대전광역시 대덕구,대전광역시,대덕구,3,167785,1.7880025032035043
대전광역시 동구,대전광역시,동구,3,219439,1.3671225260778623
대전광역시 서구,대전광역시,서구,4,457758,0.8738241603642098
대전광역시 유성구,대전광역시,유성구,7,369111,1.896448493813514
대전광역시 중구,대전광역시,중구,3,224881,1.3340388916804888
부산광역시 강서구,부산광역시,강서구,8,142869,5.599535238575198
부산광역시 금정구,부산광역시,금정구,3,209326,1.4331712257435771
부산광역시 기장군,부산광역시,기장군,6,175527,3.418277529952657
부산광역시 남구,부산광역시,남구,4,253970,1.5749891719494429
부산광역시 동구,부산광역시,동구,2,85857,2.3294547911061416
부산광역시 동래구,부산광역시,동래구,2,274843,0.7276881710649353
부산광역시 부산진구,부산광역시,부산진구,4,359150,1.1137407768341918
부산광역시 북구,부산광역시,북구,2,267287,0.7482593616599386
부산광역시 사상구,부산광역시,사상구,1,198258,0.5043932653411212
부산광역시 사하구,부산광역시,사하구,3,292117,1.026985762554045
부산광역시 서구,부산광역시,서구,1,103065,0.9702614854703343
부산광역시 수영구,부산광역시,수영구,1,171871,0.5818317226291811
부산광역시 연제구,부산광역시,연제구,1,212566,0.4704421215057911
부산광역시 영도구,부산광역시,영도구,1,103503,0.966155570369941
부산광역시 중구,부산광역시,중구,2,37469,5.337745869919133
부산광역시 해운대구,부산광역시,해운대구,3,376213,0.7974206101330896
서울특별시 강남구,서울특별시,강남구,1,557115,0.1794961542948942
서울특별시 강동구,서울특별시,강동구,3,484301,0.619449474603604
서울특별시 강북구,서울특별시,강북구,1,283293,0.35299142583826637
서울특별시 강서구,서울특별시,강서구,2,555518,0.36002433764522485
서울특별시 관악구,서울특별시,관악구,2,477940,0.4184625685232456
서울특별시 광진구,서울특별시,광진구,3,331589,0.9047344755103456
서울특별시 구로구,서울특별시,구로구,3,387510,0.7741735697143299
서울특별시 금천구,서울특별시,금천구,2,224924,0.8891892372534723
서울특별시 노원구,서울특별시,노원구,5,490307,1.019769246614876
서울특별시 도봉구,서울특별시,도봉구,2,303057,0.6599418591222114
서울특별시 동대문구,서울특별시,동대문구,1,338822,0.29514022111905364
서울특별시 동작구,서울특별시,동작구,2,375456,0.5326855876587403
서울특별시 마포구,서울특별시,마포구,3,360981,0.8310686712043016
서울특별시 서대문구,서울특별시,서대문구,2,302297,0.6616010082799366
서울특별시 서초구,서울특별시,서초구,3,408324,0.7347106709377847
서울특별시 성동구,서울특별시,성동구,2,273549,0.7311304373256711
서울특별시 성북구,서울특별시,성북구,4,420710,0.9507736920919398
서울특별시 송파구,서울특별시,송파구,2,649071,0.30813270042876667
서울특별시 양천구,서울특별시,양천구,4,430618,0.9288975379570756
서울특별시 영등포구,서울특별시,영등포구,1,373307,0.267876037684801
서울특별시 용산구,서울특별시,용산구,1,203727,0.49085295518021665
서울특별시 은평구,서울특별시,은평구,3,460738,0.6511292752062995
서울특별시 종로구,서울특별시,종로구,1,138208,0.7235471173882843
서울특별시 중구,서울특별시,중구,4,120325,3.3243299397465202
서울특별시 중랑구,서울특별시,중랑구,2,378971,0.5277448670214872
울산광역시 남구,울산광역시,남구,3,304922,0.9838581670066444
울산광역시 동구,울산광역시,동구,1,150761,0.6633015169705693
울산광역시 북구,울산광역시,북구,3,216375,1.3864818024263432
울산광역시 울주군,울산광역시,울주군,17,218880,7.7668128654970765
울산광역시 중구,울산광역시,중구,1,206883,0.48336499374042335
인천광역시 강화군,인천광역시,강화군,27,69439,38.88304843099699
인천광역시 계양구,인천광역시,계양구,3,279685,1.0726352861254624
인천광역시 남동구,인천광역시,남동구,2,485702,0.41177512137071703
인천광역시 동구,인천광역시,동구,1,58162,1.7193356487053402
인천광역시 미추홀구,인천광역시,미추홀구,3,412621,0.727059456498821
인천광역시 부평구,인천광역시,부평구,3,493853,0.6074682142256906
인천광역시 서구,인천광역시,서구,5,635553,0.786716450083628
인천광역시 연수구,인천광역시,연수구,2,400461,0.4994244133635985
인천광역시 옹진군,인천광역시,옹진군,19,19902,95.46779218169027
인천광역시 중구,인천광역시,중구,4,168271,2.3771178634464643
전라남도 강진군,전라남도,강진군,18,32169,55.95449034785042
전라남도 고흥군,전라남도,고흥군,43,60100,71.54742096505824
전라남도 곡성군,전라남도,곡성군,24,26548,90.40229019135151
전라남도 광양시,전라남도,광양시,25,154914,16.137986237525336
전라남도 구례군,전라남도,구례군,20,24002,83.32638946754437
전라남도 나주시,전라남도,나주시,31,116710,26.561562848084996
전라남도 담양군,전라남도,담양군,23,44569,51.60537593394512
전라남도 목포시,전라남도,목포시,2,209289,0.9556163964661306
전라남도 무안군,전라남도,무안군,21,92927,22.598383677510302
전라남도 보성군,전라남도,보성군,26,37149,69.98842499125145
전라남도 순천시,전라남도,순천시,34,276153,12.312015440715834
전라남도 신안군,전라남도,신안군,40,38221,104.65450930116953
전라남도 여수시,전라남도,여수시,41,267338,15.336390636572428
전라남도 영광군,전라남도,영광군,22,52272,42.08754208754208
전라남도 영암군,전라남도,영암군,24,51261,46.81921928951835
전라남도 완도군,전라남도,완도군,32,45503,70.32503351427378
전라남도 장성군,전라남도,장성군,22,42024,52.35103750237959
전라남도 장흥군,전라남도,장흥군,20,34417,58.11081732864572
전라남도 진도군,전라남도,진도군,22,28374,77.5357721858039
전라남도 함평군,전라남도,함평군,25,29913,83.57570287166115
전라남도 해남군,전라남도,해남군,32,63002,50.79203834798895
전라남도 화순군,전라남도,화순군,26,60737,42.807514365213954
전북특별자치도 고창군,전북특별자치도,고창군,37,50869,72.73585091116396
전북특별자치도 군산시,전북특별자치도,군산시,34,257832,13.186881380123491
전북특별자치도 김제시,전북특별자치도,김제시,40,80979,49.395522295903874
전북특별자치도 남원시,전북특별자치도,남원시,41,75604,54.229934924078094
전북특별자치도 무주군,전북특별자치도,무주군,15,23021,65.15789930932627
전북특별자치도 부안군,전북특별자치도,부안군,23,47989,47.92765008647815
전북특별자치도 순창군,전북특별자치도,순창군,28,26788,104.52441391667911
전북특별자치도 완주군,전북특별자치도,완주군,27,99668,27.08993859613918
전북특별자치도 익산시,전북특별자치도,익산시,42,267654,15.691900737519337
전북특별자치도 임실군,전북특별자치도,임실군,32,25578,125.10751427007585
전북특별자치도 장수군,전북특별자치도,장수군,18,20618,87.30235716364342
전북특별자치도 전주시,전북특별자치도,전주시,6,634548,0.9455549461979236
전북특별자치도 정읍시,전북특별자치도,정읍시,43,101986,42.16264977545938
전북특별자치도 진안군,전북특별자치도,진안군,23,24217,94.97460461659165
제주특별자치도 서귀포시,제주특별자치도,서귀포시,33,181837,18.148121669407217
제주특별자치도 제주시,제주특별자치도,제주시,34,487623,6.9725997338107515
충청남도 계룡시,충청남도,계룡시,3,46307,6.478502170298228
충청남도 공주시,충청남도,공주시,30,101068,29.682985712589545
충청남도 금산군,충청남도,금산군,20,49442,40.45143804862263
충청남도 논산시,충청남도,논산시,41,108302,37.85710328525789
충청남도 당진시,충청남도,당진시,32,172139,18.589628149344428
충청남도 보령시,충청남도,보령시,28,93575,29.922522041143466
충청남도 부여군,충청남도,부여군,37,59484,62.201600430367826
충청남도 서산시,충청남도,서산시,26,174139,14.93060141611012
충청남도 서천군,충청남도,서천군,28,48119,58.18907292337745
충청남도 아산시,충청남도,아산시,29,355374,8.160416912886143
충청남도 예산군,충청남도,예산군,29,78879,36.765171972261314
충청남도 천안시,충청남도,천안시,34,660147,5.150368024091604
충청남도 청양군,충청남도,청양군,23,29551,77.83154546377449
충청남도 태안군,충청남도,태안군,24,60002,39.99866671110963
충청남도 홍성군,충청남도,홍성군,26,99287,26.186711251221205
충청북도 괴산군,충청북도,괴산군,30,36115,83.06797729475288
충청북도 단양군,충청북도,단양군,23,27293,84.2706921188583
충청북도 보은군,충청북도,보은군,24,30494,78.70400734570735
충청북도 영동군,충청북도,영동군,28,43504,64.36189775652814
충청북도 옥천군,충청북도,옥천군,25,48119,51.95452939587273
충청북도 음성군,충청북도,음성군,29,91228,31.78848599114307
충청북도 제천시,충청북도,제천시,21,128352,16.36125654450262
충청북도 증평군,충청북도,증평군,3,37160,8.073196986006458
충청북도 진천군,충청북도,진천군,15,86429,17.355285841557812
충청북도 청주시,충청북도,청주시,44,854742,5.147752187209708
충청북도 충주시,충청북도,충주시,30,207230,14.476668436037254
